lu_1987,lu_1998
Palm,Palm
Palm,Palm
Palm,Mangrove
Palm,Mangrove
Palm,Mangrove
Palm,Mangrove
Palm,Mangrove
Palm,Mangrove
Palm,Mangrove
Palm,Mangrove
Palm,Water
Palm,Water
Palm,Water
Palm,Water
Palm,Water
Palm,Water
Palm,Water
Palm,Water
Palm,Grassland
Palm,Grassland
Palm,Grassland
Palm,Grassland
Palm,Grassland
Palm,Grassland
Palm,Grassland
Palm,Grassland
Palm,Grassland
Palm,Grassland
Palm,Grassland
Palm,Grassland
Palm,Grassland
Palm,Grassland
Palm,Grassland
Palm,Grassland
Palm,Grassland
Palm,Grassland
Palm,Grassland
Palm,Grassland
Palm,Grassland
Palm,Grassland
Palm,Grassland
Palm,Exposed soil / Urban
Palm,Exposed soil / Urban
Palm,Exposed soil / Urban
Palm,Forest
Palm,Forest
Palm,Forest
Palm,Forest
Palm,Forest
Palm,Forest
Palm,Forest
Palm,Forest
Palm,Forest
Palm,Forest
Palm,Wetland
Palm,Wetland
Palm,Wetland
Palm,Wetland
Palm,Wetland
Palm,Wetland
Palm,Wetland
Palm,Wetland
Palm,Wetland
Palm,Wetland
Palm,Wetland
Palm,Wetland
Palm,Wetland
Palm,Wetland
Palm,Wetland
Palm,Wetland
Palm,Wetland
Palm,Wetland
Palm,Wetland
Palm,Wetland
Palm,Wetland
Palm,Wetland
Mangrove,Mangrove
Mangrove,Mangrove
Mangrove,Mangrove
Mangrove,Mangrove
Mangrove,Mangrove
Mangrove,Mangrove
Mangrove,Mangrove
Mangrove,Mangrove
Mangrove,Mangrove
Mangrove,Mangrove
Mangrove,Mangrove
Mangrove,Mangrove
Mangrove,Mangrove
Mangrove,Mangrove
Mangrove,Mangrove
Mangrove,Mangrove
Mangrove,Mangrove
Mangrove,Mangrove
Mangrove,Mangrove
Mangrove,Mangrove
Mangrove,Mangrove
Mangrove,Mangrove
Mangrove,Mangrove
Mangrove,Mangrove
Mangrove,Mangrove
Mangrove,Mangrove
Mangrove,Mangrove
Mangrove,Mangrove
Mangrove,Mangrove
Mangrove,Mangrove
Mangrove,Mangrove
Mangrove,Mangrove
Mangrove,Mangrove
Mangrove,Mangrove
Mangrove,Mangrove
