lu_1998,lu_2019
Palm,Water
Palm,Grassland
Palm,Grassland
Palm,Grassland
Palm,Exposed soil / Urban
Palm,Exposed soil / Urban
Palm,Exposed soil / Urban
Palm,Exposed soil / Urban
Palm,Forest
Palm,Forest
Palm,Forest
Palm,Forest
Palm,Forest
Palm,Forest
Palm,Forest
Palm,Forest
Palm,Forest
Palm,Forest
Palm,Forest
Palm,Forest
Palm,Forest
Palm,Forest
Palm,Forest
Palm,Forest
Palm,Forest
Palm,Forest
Palm,Forest
Palm,Forest
Palm,Forest
Palm,Forest
Palm,Forest
Palm,Forest
