lu_1998,lu_2019
Palm,Grassland
Palm,Forest
Palm,Forest
Palm,Forest
Palm,Forest
Palm,Forest
Palm,Forest
Palm,Forest
Palm,Forest
Palm,Forest
Palm,Forest
Palm,Wetland
Palm,Wetland
Mangrove,Forest
Mangrove,Forest
Mangrove,Forest
Mangrove,Forest
Mangrove,Forest
Mangrove,Forest
Mangrove,Forest
Mangrove,Forest
Mangrove,Forest
Mangrove,Forest
Grassland,Grassland
Grassland,Grassland
Grassland,Grassland
Grassland,Grassland
Grassland,Grassland
Grassland,Grassland
Grassland,Grassland
Grassland,Grassland
Grassland,Grassland
Grassland,Grassland
Grassland,Grassland
Grassland,Grassland
Grassland,Grassland
Grassland,Grassland
Grassland,Grassland
Grassland,Grassland
Grassland,Grassland
Grassland,Grassland
Grassland,Grassland
Grassland,Grassland
Grassland,Grassland
Grassland,Grassland
Grassland,Grassland
Grassland,Grassland
Grassland,Grassland
Grassland,Grassland
Grassland,Grassland
Grassland,Grassland
Grassland,Grassland
Grassland,Grassland
Grassland,Grassland
Grassland,Grassland
Grassland,Grassland
Grassland,Grassland
Grassland,Grassland
Grassland,Grassland
Grassland,Grassland
Grassland,Grassland
Grassland,Grassland
Grassland,Grassland
Grassland,Grassland
Grassland,Grassland
Grassland,Grassland
Grassland,Grassland
Grassland,Grassland
Grassland,Grassland
Grassland,Grassland
Grassland,Grassland
Grassland,Exposed soil / Urban
Grassland,Exposed soil / Urban
Grassland,Exposed soil / Urban
Grassland,Forest
Grassland,Forest
Grassland,Forest
Grassland,Forest
Grassland,Forest
Grassland,Forest
Grassland,Forest
Grassland,Forest
Grassland,Forest
Grassland,Forest
Grassland,Forest
Grassland,Forest
Grassland,Forest
Grassland,Forest
Grassland,Forest
Grassland,Forest
Grassland,Forest
Grassland,Forest
Grassland,Forest
Grassland,Forest
Grassland,Forest
Grassland,Forest
Grassland,Forest
Grassland,Forest
Grassland,Forest
Grassland,Forest
Grassland,Forest
Grassland,Forest
Grassland,Forest
Grassland,Forest
Grassland,Forest
Grassland,Forest
Grassland,Forest
Grassland,Forest
Grassland,Forest
Grassland,Forest
Grassland,Forest
Grassland,Forest
Grassland,Forest
Grassland,Forest
Grassland,Forest
Grassland,Forest
Grassland,Forest
Grassland,Forest
Grassland,Forest
Grassland,Forest
Grassland,Forest
Grassland,Forest
Grassland,Forest
Grassland,Forest
Grassland,Forest
Grassland,Forest
Grassland,Forest
Grassland,Forest
Grassland,Forest
Grassland,Forest
Grassland,Forest
Grassland,Forest
Grassland,Forest
Grassland,Forest
Grassland,Forest
Grassland,Forest
Grassland,Forest
Grassland,Forest
Grassland,Forest
Grassland,Forest
Grassland,Forest
Grassland,Forest
Grassland,Forest
Grassland,Forest
Grassland,Forest
Grassland,Forest
Grassland,Forest
Grassland,Forest
Grassland,Wetland
Grassland,Wetland
Grassland,Wetland
Grassland,Wetland
Grassland,Wetland
Grassland,Wetland
Grassland,Wetland
Forest,Mangrove
Forest,Grassland
Forest,Grassland
Forest,Grassland
Forest,Grassland
Forest,Grassland
Forest,Grassland
Forest,Grassland
Forest,Grassland
Forest,Grassland
Forest,Grassland
Forest,Grassland
Forest,Grassland
Forest,Grassland
Forest,Exposed soil / Urban
Forest,Exposed soil / Urban
Forest,Exposed soil / Urban
